n	t0	t1	t2	t3
1	0.568606566400000	0.478117775100000	0.447431832600000	0.470785213300000
2	0.519860166300000	0.549077733900000	0.535392077100000	0.542462359800000
3	0.472659580400000	0.526499702300000	0.535734589100000	0.574534161500000
