n	t0	t1	t2	t3
1	0.592622582100000	0.531739746900000	0.559462446000000	0.578900709200000
2	0.627799736500000	0.614719421300000	0.667411234700000	0.623563685000000
3	0.671936482800000	0.626418439700000	0.627039627000000	0.611848072600000
